Date,100 SPY,100 LQD,80-20 SPYxLQD - Daily,60-40 SPYxLQD - Daily,50-50 SPYxLQD - Daily,80-20 SPYxLQD - Monthly,60-40 SPYxLQD - Monthly,50-50 SPYxLQD - Monthly,80-20 SPYxLQD - Yearly,60-40 SPYxLQD - Yearly,50-50 SPYxLQD - Yearly,Fast Algo - Daily,Fast Algo - Monthly,Fast Algo - Yearly,Round Robin - Daily,,,,,,,,,,,,,,,,,
10/18/2018,97.26448787,98.65214979,97.56577539,97.85523566,97.99551416,97.55829464,97.84396422,97.98374756,97.54202025,97.81955264,97.95831883,98.76883071,96.86605976,97.09610067,98.31465543,,,,,,,,,,,,,,,,,
10/19/2018,97.21173704,98.52973445,97.49923055,97.77482234,97.90814024,97.49131269,97.76290025,97.8956985,97.47533652,97.73893601,97.87073575,99.10499557,96.10058792,97.14989285,99.34187216,,,,,,,,,,,,,,,,,
10/22/2018,96.77536623,98.40735074,97.12488073,97.46290487,97.62758599,97.11901102,97.45403187,97.61830832,97.10176313,97.42816003,97.59135848,98.41506098,95.7953911,96.57130731,98.61932757,,,,,,,,,,,,,,,,,
10/23/2018,96.28270481,98.54725512,96.75694438,97.22063263,97.44848396,96.75546634,97.21830213,97.44599788,96.73561487,97.18852493,97.41497997,98.05543873,95.4540534,95.82805371,98.25829652,,,,,,,,,,,,,,,,,
10/24/2018,93.36546283,98.68711995,94.4391205,95.50842944,96.04135485,94.46217082,95.54269053,96.07687978,94.42979426,95.49412568,96.02629139,99.31402228,92.48461928,93.66831669,98.15612025,,,,,,,,,,,,,,,,,
10/25/2018,95.04049055,98.56472043,95.77112612,96.48913085,96.84331318,95.77034464,96.48769467,96.84168067,95.74533653,96.4501825,96.80260549,98.37368389,94.23460726,94.77854044,98.1453872,,,,,,,,,,,,,,,,,
10/26/2018,93.36896744,98.73080695,94.45590343,95.53596584,96.073291,94.47388103,95.56252178,96.10073984,94.44133534,95.51370324,96.0498872,96.53177449,92.5015248,93.30986003,96.72590136,,,,,,,,,,,,,,,,,
10/29/2018,92.85169757,98.61717963,94.0155287,95.17442055,95.75188058,94.03897923,95.20916826,95.78785304,94.00479398,95.15789039,95.7344386,97.79781344,92.31113169,93.07282786,97.47429503,,,,,,,,,,,,,,,,,
10/30/2018,94.22759687,98.39865764,95.08837981,95.93625402,96.35523161,95.08944622,95.93747697,96.35631037,95.06180902,95.89602118,96.31312725,98.82409988,93.40566067,94.54430216,98.98762562,,,,,,,,,,,,,,,,,
10/31/2018,95.23405285,98.1188647,95.84682384,96.44196135,96.73283109,95.83335887,96.42149306,96.71137072,95.81101522,96.38797759,96.67645878,97.7833981,93.97781666,95.10433642,98.74133283,,,,,,,,,,,,,,,,,
