Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND,,,,,,,,,,,,,,,,,,,,,
11/6/2019,0.00075617,-4.30E-05,0.001028738,0.001198768,0.000502431,0.000936222,0.000557377,0.000572224,0.000610631,0.000698657,0.00052508,7.943434667229379e-05,0.000128095,0.000320822,0.000573305,0.000131488,0.00023696,0.000564418,0.000310169,,,,,,,,,,,,,,,,,,,,,
11/7/2019,0.000781346,0.00011625,0.0010946,0.001267034,0.00051721,0.00095517,0.000482982,0.000523854,0.000451869,0.00075047,0.000433597,8.101634819436283e-05,0.000114191,0.000231679,0.000371284,0.000117815,0.000183077,0.000373295,0.000251503,,,,,,,,,,,,,,,,,,,,,
11/8/2019,0.000781851,5.639025205880847e-05,0.001068802,0.001289897,0.00056604,0.000946252,0.000459268,0.000506547,0.000391942,0.000770937,0.000412362,8.011192526090428e-05,0.000114645,0.000214602,0.000320715,0.00011886,0.000173281,0.000324048,0.000237797,,,,,,,,,,,,,,,,,,,,,
11/11/2019,0.000754851,1.3672022113130697e-05,0.00102646,0.001282769,0.000515381,0.000943515,0.000432061,0.000484934,0.00032259,0.000750678,0.000414227,7.921631964649423e-05,0.000116173,0.000225492,0.000324833,0.000119461,0.000180779,0.000334294,0.000243377,,,,,,,,,,,,,,,,,,,,,
11/12/2019,0.000778633,-4.08E-05,0.00103868,0.001321441,0.000578084,0.000941481,0.000432554,0.000510851,0.000344653,0.000811294,0.000419834,7.942286717479379e-05,0.000115876,0.000224786,0.00036503,0.000117832,0.000179747,0.000358646,0.000245335,,,,,,,,,,,,,,,,,,,,,
11/13/2019,0.000790485,-6.95E-05,0.000976216,0.001362499,0.000596538,0.000903951,0.000411451,0.000592394,0.000502365,0.000752938,0.000441606,7.872309386682947e-05,0.000119225,0.000249469,0.000426235,0.000121291,0.000197137,0.000416203,0.000261067,,,,,,,,,,,,,,,,,,,,,
11/14/2019,0.000800012,-7.81E-05,0.000983595,0.001335313,0.000597736,0.000925699,0.000454563,0.000584913,0.000532002,0.000814901,0.000495165,7.902869302609445e-05,0.000128195,0.000301234,0.000534709,0.000134079,0.000231344,0.000522018,0.000290068,,,,,,,,,,,,,,,,,,,,,
11/15/2019,0.000876519,7.977201177126509e-06,0.001014672,0.00142019,0.000829762,0.000999112,0.000476232,0.000588422,0.000570293,0.00079872,0.000494239,7.714569541258729e-05,0.000122447,0.000287635,0.000517019,0.000130373,0.000216021,0.0005026,0.000282618,,,,,,,,,,,,,,,,,,,,,
11/18/2019,0.000866758,-0.000136757,0.00101367,0.001416737,0.000777036,0.000936795,0.000510352,0.000640604,0.000594186,0.000751899,0.000502908,7.846282717977136e-05,0.000125933,0.000302725,0.00053194,0.000128925,0.000228079,0.000523667,0.000295229,,,,,,,,,,,,,,,,,,,,,
11/19/2019,0.000852715,-0.000306727,0.001024431,0.001425066,0.000834365,0.000918392,0.000389122,0.000617942,0.000547393,0.000712247,0.000517562,7.639964887718279e-05,0.000122768,0.000317523,0.00061215,0.000126624,0.000230403,0.000594719,0.000302036,,,,,,,,,,,,,,,,,,,,,
11/20/2019,0.000818386,-0.000193789,0.000963594,0.001378041,0.000822552,0.000836692,0.000381072,0.000637848,0.000603857,0.00058186,0.000528602,7.69143211746147e-05,0.00012594,0.000352981,0.000716029,0.000130423,0.000253469,0.000699685,0.000328739,,,,,,,,,,,,,,,,,,,,,
11/21/2019,0.000808698,1.4833663342750095e-05,0.000962011,0.001327955,0.00085021,0.00084222,0.000335337,0.000591239,0.000563605,0.000573424,0.00049983,7.59565455834368e-05,0.000119764,0.000322467,0.000640576,0.000125553,0.000234874,0.000630561,0.000307961,,,,,,,,,,,,,,,,,,,,,
