Date,100 SPY,Round Robin - Daily
2019-02-01,95.58841697121997,113.86711867181951
2019-02-04,96.26091527752052,114.37355215831207
2019-02-05,96.66445528516267,114.79716376431438
2019-02-06,96.53701172813598,114.3898313181796
2019-02-07,95.61675273863575,112.88178352048493
2019-02-08,95.73353595214034,112.62594882300547
2019-02-11,95.7866384109934,113.04093368310285
2019-02-12,97.01840330441341,114.88585114489415
2019-02-13,97.33341381824314,115.5282500892447
2019-02-14,97.11749351236921,114.99355380086459
2019-02-15,98.17580951800474,116.60878821291213
2019-02-19,98.345683469259,116.83165609422261
2019-02-20,98.54394593289427,117.69260895927013
2019-02-21,98.19351424465687,117.3145639937672
2019-02-22,98.80232593575421,117.96494721409978
2019-02-25,98.93679043370419,118.5359327753545
2019-02-26,98.86604185371587,118.25907514888
